2017-11-09-A-activity.csv
Timestamp;Act24;Act16;Act02;Act05;Act17;Act22;Act13
2017/11/09 12:02:30;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 12:03:00;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 12:03:30;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 12:04:00;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 12:04:30;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 12:05:00;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 12:05:30;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 12:06:00;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 12:06:30;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 12:07:00;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 12:07:30;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 12:08:00;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 12:08:30;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
2017/11/09 12:09:00;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
2017/11/09 12:09:30;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
2017/11/09 12:10:00;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
2017/11/09 12:10:30;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
2017/11/09 12:11:00;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
2017/11/09 12:11:30;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
2017/11/09 12:12:00;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
2017/11/09 12:12:30;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
2017/11/09 12:13:00;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
2017/11/09 12:13:30;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 12:14:00;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 12:14:30;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO
2017/11/09 12:15:00;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 12:15:30;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 12:16:00;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 12:16:30;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 12:17:00;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 12:17:30;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 12:18:00;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 12:18:30;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 12:19:00;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 12:19:30;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 12:20:00;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 12:20:30;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 12:21:00;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 12:21:30;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 12:22:00;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 12:22:30;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 12:23:00;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO
2017/11/09 12:23:30;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO
2017/11/09 12:24:00;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO
2017/11/09 12:24:30;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 12:25:00;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 12:25:30;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO
2017/11/09 12:26:00;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 12:26:30;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
""
""
""
2017-11-09-B-activity.csv
Timestamp;Act10;Act03;Act06;Act17;Act12;Act13
2017/11/09 13:12:30;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:13:00;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:13:30;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:14:00;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:14:30;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:15:00;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:15:30;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:16:00;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:16:30;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:17:00;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:17:30;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:18:00;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:18:30;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:19:00;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:19:30;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:20:00;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:20:30;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:21:00;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:21:30;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:22:00;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:22:30;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:23:00;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:23:30;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:24:00;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:24:30;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:25:00;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:25:30;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:26:00;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:26:30;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:27:00;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:27:30;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:28:00;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:28:30;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:29:00;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:29:30;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:30:00;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:30:30;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:31:00;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:31:30;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:32:00;FALSO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO
2017/11/09 13:32:30;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:33:00;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:33:30;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:34:00;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:34:30;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:35:00;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:35:30;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:36:00;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:36:30;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:37:00;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:37:30;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
2017/11/09 13:38:00;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO
2017/11/09 13:38:30;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO
2017/11/09 13:39:00;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO
